yearID,player,HR
1901,Nap Lajoie†,14
1902,Socks Seybold,16
1903,Buck Freeman,13
1904,Harry Davis,10
1905,Harry Davis,8
1906,Harry Davis,12
1907,Harry Davis,8
1908,Sam Crawford†,7
1909,Ty Cobb†,9
1910,Jake Stahl,10
1911,Frank Baker†,11
1912,Frank Baker† Tris Speaker†,10
1913,Frank Baker†,12
1914,Frank Baker†,9
1915,Braggo Roth,7
1916,Wally Pipp,12
1917,Wally Pipp,9
1918,Babe Ruth† Tilly Walker,11
1919,Babe Ruth†,29
1920,Babe Ruth†,54
1921,Babe Ruth†,59
1922,Ken Williams,39
1923,Babe Ruth†,41
1924,Babe Ruth†,46
1925,Bob Meusel,33
1926,Babe Ruth†,47
1927,Babe Ruth†,60
1928,Babe Ruth†,54
1929,Babe Ruth†,46
1930,Babe Ruth†,49
1931,Babe Ruth† Lou Gehrig†,46
1932,Jimmie Foxx†,58
1933,Jimmie Foxx†,48
1934,Lou Gehrig†,49
1935,Hank Greenberg† Jimmie Foxx†,36
1936,Lou Gehrig†,49
1937,Joe DiMaggio†,46
1938,Hank Greenberg†,58
1939,Jimmie Foxx†,35
1940,Hank Greenberg†,41
1941,Ted Williams†,37
1942,Ted Williams†,36
1943,Rudy York,34
1944,Nick Etten,22
1945,Vern Stephens,24
1946,Hank Greenberg†,44
1947,Ted Williams†,32
1948,Joe DiMaggio†,39
1949,Ted Williams†,43
1950,Al Rosen,37
1951,Gus Zernial,33
1952,Larry Doby†,32
1953,Al Rosen,43
1954,Larry Doby†,32
1955,Mickey Mantle†,37
1956,Mickey Mantle†,52
1957,Roy Sievers,42
1958,Mickey Mantle†,42
1959,Harmon Killebrew† Rocky Colavito,42
1960,Mickey Mantle†,40
1961,Roger Maris,61
1962,Harmon Killebrew†,48
1963,Harmon Killebrew†,45
1964,Harmon Killebrew†,49
1965,Tony Conigliaro,32
1966,Frank Robinson†,49
1967,Carl Yastrzemski† Harmon Killebrew†,44
1968,Frank Howard,44
1969,Harmon Killebrew†,49
1970,Frank Howard,44
1971,Bill Melton,33
1972,Dick Allen†,37
1973,Reggie Jackson†,32
1974,Dick Allen†,32
1975,Reggie Jackson† George Scott,36
1976,Graig Nettles,32
1977,Jim Rice†,39
1978,Jim Rice†,46
1979,Gorman Thomas,45
1980,Reggie Jackson† Ben Oglivie,41
1981,Bobby Grich Eddie Murray† Dwight Evans Tony Armas,22
1982,Reggie Jackson† Gorman Thomas,39
1983,Jim Rice†,39
1984,Tony Armas,43
1985,Darrell Evans,40
1986,Jesse Barfield,40
1987,Mark McGwire,49
1988,José Canseco,42
1989,Fred McGriff†,36
1990,Cecil Fielder,51
1991,José Canseco Cecil Fielder,44
1992,Juan González,43
1993,Juan González,46
1994,Ken Griffey Jr.†,40
1995,Albert Belle,50
1996,Mark McGwire,52
1997,Ken Griffey Jr.†,56
1998,Ken Griffey Jr.†,56
1999,Ken Griffey Jr.†,48
2000,Troy Glaus,47
2001,Alex Rodriguez,52
2002,Alex Rodriguez,57
2003,Alex Rodriguez,47
2004,Manny Ramirez,43
2005,Alex Rodriguez,48
2006,David Ortiz†,54
2007,Alex Rodriguez,54
2008,Miguel Cabrera,37
2009,Carlos Peña Mark Teixeira,39
2010,José Bautista,54
2011,José Bautista,43
2012,Miguel Cabrera,44
2013,Chris Davis,53
2014,Nelson Cruz,40
2015,Chris Davis,47
2016,Mark Trumbo,47
2017,Aaron Judge,52
2018,Khris Davis,48
2019,Jorge Soler,48
2020,Luke Voit,22
2021,Vladimir Guerrero Jr. Salvador Perez,48
2022,Aaron Judge,62
2023,Shohei Ohtani,44
2024,Aaron Judge,58
